,Year,State,Overall_Homeless,total_poverty_population,total_drug_population,average_debt,GDP
0,2017,Alaska,1845,719,585735,1.66,195959.687
1,2017,Alabama,3793,4801,4084713,1.45,796456.921
2,2017,Arkansas,2467,2921,2488721,1.28,474913.907
3,2017,Arizona,8947,6981,5909464,1.78,1183021.425
4,2017,California,131532,39250,33047069,1.78,10133842.761
5,2017,Colorado,10940,5527,4726440,1.78,1269223.754
6,2017,Connecticut,3388,3553,3065131,1.45,967257.088
7,2017,Delaware,994,967,815435,1.45,272910.18
8,2017,Florida,32190,20910,18049348,1.66,3580331.003
9,2017,Georgia,10174,10230,8633046,1.45,2044187.356
10,2017,Iowa,2756,3053,2623553,1.175,701127.857
11,2017,Idaho,2037,1730,1423177,1.95,266176.504
12,2017,Illinois,10798,12600,10706729,1.175,3015175.35
13,2017,Indiana,5438,6532,5551977,1.28,1330531.817
14,2017,Kansas,2287,2868,2378798,1.175,568950.597
15,2017,Kentucky,4025,4395,3709471,1.175,754307.345
16,2017,Louisiana,3305,4535,3829009,1.36,899945.37
17,2017,Massachusetts,17565,6784,5924511,1.28,1947264.892
18,2017,Maryland,7247,5977,5059930,1.95,1463231.961
19,2017,Maine,2280,1315,1161344,1.66,226416.172
20,2017,Michigan,9051,9895,8467102,1.175,1899812.286
21,2017,Minnesota,7668,5619,4673265,1.28,1315548.509
22,2017,Missouri,6037,5988,5099166,1.28,1132062.479
23,2017,Mississippi,1472,2948,2451758,1.36,416107.986
24,2017,Montana,1529,1041,888202,1.78,177944.433
25,2017,North Carolina,8962,10300,8615124,1.55,1989177.435
26,2017,North Dakota,1089,740,616968,0.7550000000000001,206347.274
27,2017,Nebraska,2501,1878,1575393,1.175,441543.591
28,2017,New Hampshire,1456,1333,1169887,1.66,295480.118
29,2017,New Jersey,8536,9015,7574645,1.55,2178379.179
30,2017,New Mexico,2482,2035,1736893,1.66,369884.231
31,2017,Nevada,7833,2979,2521019,1.66,561872.462
32,2017,New York,89503,19740,16730174,0.7550000000000001,5650616.386
33,2017,Ohio,10095,11490,9801649,1.175,2410677.3
34,2017,Oklahoma,4199,3817,3216614,1.28,726098.482
35,2017,Oregon,13953,4202,3549625,1.66,893562.332
36,2017,Pennsylvania,14138,12570,10871303,1.28,2786592.969
37,2017,Rhode Island,1180,1046,909823,1.55,218934.767
38,2017,South Carolina,3916,4955,4227157,1.66,807715.335
39,2017,South Dakota,943,870,710913,1.175,178603.74899999998
40,2017,Tennessee,8309,6699,5644658,1.36,1270997.921
41,2017,Texas,23548,28090,23108167,1.175,6347812.459
42,2017,Utah,2852,3130,2484673,1.66,608924.112
43,2017,Virginia,6067,8242,7045953,1.95,1892455.168
44,2017,Vermont,1225,613,544408,1.45,118865.682
45,2017,Washington,21112,7425,6249140,1.66,1861694.228
46,2017,Wisconsin,5027,5809,4899233,1.175,1199784.459
47,2017,West Virginia,1309,1793,1542266,1.28,288547.99700000003
48,2017,Wyoming,873,560,477796,1.55,152959.431
49,2016,Alaska,1940,708,585271,1.66,389865.352
50,2016,Alabama,4111,4821,4070627,1.45,1550529.778
51,2016,Arkansas,2463,2941,2475461,1.36,922557.693
52,2016,Arizona,9707,6878,5788143,1.78,2304671.782
53,2016,California,118142,39140,32849259,1.95,19772800.899
54,2016,Colorado,10550,5502,4646985,1.78,2456056.546
55,2016,Connecticut,3902,3567,3061195,1.45,1950430.477
56,2016,Delaware,1070,947,807445,1.66,530179.946
57,2016,Florida,33559,20520,17727429,1.78,6961890.0940000005
58,2016,Georgia,12909,10270,8523903,1.45,3987326.149
59,2016,Iowa,3064,3099,2612336,1.175,1392126.38
60,2016,Idaho,2247,1679,1389076,1.95,516727.717
61,2016,Illinois,11590,12580,10712268,1.28,5970325.43
62,2016,Indiana,5798,6493,5520574,1.28,2609341.676
63,2016,Kansas,2255,2859,2373331,1.175,1140201.589
64,2016,Kentucky,4237,4383,3692840,1.28,1478455.128
65,2016,Louisiana,3994,4573,3833696,1.36,1780813.338
66,2016,Massachusetts,19608,6775,5875684,1.36,3802286.469
67,2016,Maryland,7689,5930,5045592,1.95,2879585.9050000003
68,2016,Maine,2241,1317,1157056,1.78,445068.413
69,2016,Michigan,9316,9875,8427072,1.28,3695527.917
70,2016,Minnesota,7341,5430,4630954,1.36,2558305.678
71,2016,Missouri,6194,5878,5080246,1.36,2244978.512
72,2016,Mississippi,1738,2943,2448172,1.45,818170.717
