,Year,Total Poverty Rate (%)
0,2023,11.1
1,2022,11.5
2,2021,11.6
3,20202,11.5
4,2019,10.5
5,2018,11.8
6,20173,12.3
7,2017,12.3
8,2016,12.7
9,2015,13.5
10,2014,14.8
11,20134,14.8
12,20135,14.5
13,2012,15.0
14,2011,15.0
15,20106,15.1
16,2009,14.3
17,2008,13.2
18,2007,12.5
19,2006,12.3
20,2005,12.6
21,20047,12.7
22,2003,12.5
23,2002,12.1
24,2001,11.7
25,20008,11.3
26,19999,11.9
27,1998,12.7
28,1997,13.3
29,1996,13.7
30,199510,13.8
31,199411,14.5
32,199312,15.1
33,199213,14.8
34,199114,14.2
35,1990,13.5
36,1989,12.8
37,198815,13.0
38,198715,13.4
39,1986,13.6
40,198516,14.0
41,198417,14.4
42,1983,15.2
43,1982,15.0
44,198118,14.0
45,1980,13.0
46,197919,11.7
47,1978,11.4
48,1977,11.6
49,1976,11.8
50,1975,12.3
51,197420,11.2
52,1973,11.1
53,197221,11.9
54,197122,12.5
55,1970,12.6
56,1969,12.1
57,1968,12.8
58,196723,14.2
59,1966,14.7
60,1965,17.3
61,1964,19.0
62,1963,19.5
63,1962,21.0
64,1961,21.9
65,1960,22.2
66,1959,22.4
68,2023,9.7
69,2022,10.5
70,2021,10.0
71,20202,10.1
72,2019,9.1
73,2018,10.1
74,20173,10.5
75,2017,10.7
76,2016,11.0
77,2015,11.6
78,2014,12.7
79,20134,12.9
80,20135,12.3
81,2012,12.7
82,2011,12.8
83,20106,13.0
84,2009,12.3
85,2008,11.2
86,2007,10.5
87,2006,10.3
88,2005,10.6
89,20047,10.8
90,2003,10.5
91,2002,10.2
93,2001,9.9
94,20008,9.5
95,19999,9.8
96,1998,10.5
97,1997,11.0
98,1996,11.2
99,199510,11.2
100,199411,11.7
101,199312,12.2
102,199213,11.9
103,199114,11.3
104,1990,10.7
105,1989,10.0
106,198815,10.1
107,198715,10.4
108,1986,11.0
109,198516,11.4
110,198417,11.5
111,1983,12.1
112,1982,12.0
113,198118,11.1
114,1980,10.2
115,197919,9.0
116,1978,8.7
117,1977,8.9
118,1976,9.1
119,1975,9.7
120,197420,8.6
121,1973,8.4
122,197221,9.0
123,197122,9.9
124,1970,9.9
125,1969,9.5
126,1968,10.0
127,196723,11.0
128,1966,11.3
129,1965,13.3
130,1960,17.8
131,1959,18.1
133,2023,7.7
134,2022,8.6
135,2021,8.1
136,20202,8.2
137,2019,7.3
138,2018,8.1
139,20173,8.5
140,2017,8.7
141,2016,8.8
142,2015,9.1
143,2014,10.1
144,20134,10.0
145,20135,9.6
146,2012,9.7
147,2011,9.8
148,20106,9.9
149,2009,9.4
150,2008,8.6
151,2007,8.2
152,2006,8.2
153,2005,8.3
154,20047,8.7
155,2003,8.2
156,2002,8.0
158,2001,7.8
159,20008,7.4
160,19999,7.7
161,1998,8.2
162,1997,8.6
163,1996,8.6
164,199510,8.5
165,199411,9.4
166,199312,9.9
167,199213,9.6
168,199114,9.4
169,1990,8.8
170,1989,8.3
171,198815,8.4
172,198715,8.7
173,1986,9.4
174,198516,9.7
175,198417,10.0
176,1983,10.8
177,1982,10.6
178,198118,9.9
179,1980,9.1
180,197919,8.1
181,1978,7.9
182,1977,8.0
183,1976,8.1
184,1975,8.6
185,197420,7.7
187,2023,17.8
188,2022,17.0
189,2021,19.3
190,20202,19.3
191,2019,18.7
192,2018,20.7
193,20173,21.7
194,2017,21.2
195,2016,21.8
196,2015,23.9
197,2014,26.0
198,20134,25.3
199,20135,27.1
200,2012,27.1
201,2011,27.5
202,20106,27.4
203,2009,25.9
204,2008,24.6
205,2007,24.4
206,2006,24.2
207,2005,24.7
208,20047,24.7
209,2003,24.3
210,2002,23.9
212,2023,17.9
213,2022,17.1
214,2021,19.5
215,20202,19.6
216,2019,18.8
217,2018,20.8
218,20173,21.7
219,2017,21.2
220,2016,22.0
221,2015,24.1
222,2014,26.2
223,20134,25.2
224,20135,27.2
225,2012,27.2
226,2011,27.6
227,20106,27.4
228,2009,25.8
229,2008,24.7
230,2007,24.5
231,2006,24.3
232,2005,24.9
233,20047,24.7
234,2003,24.4
235,2002,24.1
237,2001,22.7
238,20008,22.5
239,19999,23.6
240,1998,26.1
241,1997,26.5
242,1996,28.4
243,199510,29.3
244,199411,30.6
245,199312,33.1
246,199213,33.4
247,199114,32.7
248,1990,31.9
249,1989,30.7
250,198815,31.3
251,198715,32.4
252,1986,31.1
253,198516,31.3
254,198417,33.8
255,1983,35.7
256,1982,35.6
257,198118,34.2
258,1980,32.5
259,197919,31.0
260,1978,30.6
261,1977,31.3
262,1976,31.1
263,1975,31.3
264,197420,30.3
265,1973,31.4
266,197221,33.3
267,197122,32.5
268,1970,33.5
269,1969,32.2
270,1968,34.7
271,196723,39.3
272,1966,41.8
273,1965,
275,2023,8.9
276,2022,8.2
277,2021,9.0
278,20202,8.0
